SURVEY_YR,SURVEY_MN,COUNTY_ID,COUNTYNAME,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT
2008,12,10001,台北縣,99.61,2.9,1864.01,31.85,21.59,10.25,47.49
2008,12,10002,宜蘭縣,104.8,3.1,210.5,41.74,23.53,18.22,77.43
2008,12,10003,桃園縣,102.49,3.1,1620.87,38.41,27.25,11.16,40.94
2008,12,10004,新竹縣,106.84,3.3,357.13,45.6,29.27,16.33,55.8
2008,12,10005,苗栗縣,109.07,3.4,309.42,43.39,24.43,18.96,77.62
2008,12,10006,台中縣,103.31,3.5,752.37,37.19,25.27,11.92,47.18
2008,12,10007,彰化縣,106.17,3.7,1182.68,41.41,24.7,16.71,67.66
2008,12,10008,南投縣,107.02,3.2,129.76,41.91,23.12,18.78,81.22
2008,12,10009,雲林縣,110.21,3.2,533.76,45.18,23.76,21.42,90.14
2008,12,10010,嘉義縣,109.93,3.2,281.27,44.39,22.19,22.2,100.07
2008,12,10011,台南縣,105.02,3.1,534.37,38.73,21,17.73,84.39
2008,12,10012,高雄縣,105.79,3,444.12,34.83,21.17,13.66,64.51
2008,12,10013,屏東縣,106.7,3.3,317.15,39.57,22.43,17.14,76.41
2008,12,10014,台東縣,111.11,2.9,64.87,41.7,23.35,18.35,78.61
2008,12,10015,花蓮縣,107.66,2.9,74.24,40.16,22.95,17.21,75.01
2008,12,10016,澎湖縣,106.33,3,764.45,42.59,21.31,21.28,99.85
2008,12,10017,基隆市,102.48,2.7,2728.14,36.1,21.43,14.68,68.51
2008,12,10018,新竹市,99.67,3,3408.54,41.59,28.42,13.17,46.35
2008,12,10019,台中市,95.3,2.9,6610.23,37.01,26.13,10.88,41.63
2008,12,10020,嘉義市,97.66,2.9,4590.62,41.75,26.63,15.11,56.75
2008,12,10021,台南市,98.62,2.9,4147.3,35.4,22.75,12.66,55.63
2008,12,63000,台北市,94.01,2.7,9720.69,38.65,21.55,17.1,79.34
2008,12,64000,高雄市,98.54,2.7,8390.46,34.81,21.87,12.94,59.17
2008,12,9020,金門縣,111.69,2.8,572.98,36.63,19.23,17.4,90.47
2008,12,9007,連江縣,137.5,4.9,576.3,32.76,19.66,13.1,66.64
