SURVEY_YR,SURVEY_MN,COUNTY_ID,COUNTY,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT
2010,12,10001,臺北縣,98.67,2.8,1894.64,30.39,19.6,10.79,55.08
2010,12,10002,宜蘭縣,103.93,3,210.29,39.57,21.29,18.29,85.9
2010,12,10003,桃園縣,101.66,3,1656.36,35.84,24.63,11.2,45.48
2010,12,10004,新竹縣,106.03,3.2,363.95,42.96,27.02,15.95,59.02
2010,12,10005,苗栗縣,107.92,3.2,309.75,41.09,22.18,18.91,85.25
2010,12,10006,臺中縣,102.67,3.4,756.23,35.08,22.93,12.15,52.99
2010,12,10007,彰化縣,105.39,3.6,1177.59,39.58,22.7,16.88,74.35
2010,12,10008,南投縣,106.11,3.1,128.48,39.61,20.68,18.93,91.54
2010,12,10009,雲林縣,109.28,3.1,529.28,43.31,21.74,21.57,99.24
2010,12,10010,嘉義縣,108.98,3.1,278.47,42.17,19.9,22.27,111.9
2010,12,10011,臺南縣,104.22,3,532.87,36.51,18.83,17.68,93.92
2010,12,10012,高雄縣,104.79,2.9,444.18,33.07,19.11,13.96,73.05
2010,12,10013,屏東縣,105.89,3.2,313.11,37.28,19.93,17.35,87.03
2010,12,10014,臺東縣,109.84,2.9,64.55,39.68,21.43,18.24,85.1
2010,12,10015,花蓮縣,106.31,2.8,73.67,38.04,20.75,17.29,83.33
2010,12,10016,澎湖縣,105.57,2.8,793.84,39.02,18.87,20.15,106.77
2010,12,10017,基隆市,101.57,2.6,2693.92,33.65,18.91,14.74,77.93
2010,12,10018,新竹市,98.63,2.9,3490.69,39.88,26.74,13.14,49.12
2010,12,10019,臺中市,94.47,2.8,6710.19,34.79,23.67,11.12,46.97
2010,12,10020,嘉義市,96.87,2.9,4566.14,39.66,24.32,15.34,63.09
2010,12,10021,臺南市,97.84,2.9,4167.59,33.79,20.82,12.96,62.25
2010,12,63000,臺北市,93.09,2.7,9708.41,37.6,20.15,17.45,86.6
2010,12,64000,高雄市,97.32,2.6,8413.74,33.67,20.11,13.56,67.42
2010,12,9020,金門縣,105.01,3,659.75,33.68,17.64,16.04,90.9
2010,12,9007,連江縣,136.82,4.7,587.64,31.4,19.03,12.37,65.02
